References	Qty	Description	MFP	Notes	Source	supplier1_link	supplier1_name
C1	1						
C2, C5	2						
C3, C4	2						
C6	1						
D1	1						
I1	1						
IC1	1						
IC2	1						
J1	1						
JPR1	1						
P1	1						
P2	1						
P3	1						
P4	1						
P5	1						
P6	1						
P7	1						
P8	1						
P9	1						
P10	1						
P11	1						
P12	1						
P13	1						
Q1	1						
R1, R2, R4, R5, R6, R7, R8, R9, R10	9						
R3	1						
R11	1						
R12	1						
SW1	1						
SW2	1						
SW3	1	4-pole, double throw slide switch	MFS401N-2-Z	1.5mm leads. Can be placed either way round	Digikey only	http://www.digikey.co.uk/product-detail/en/copal-electronics-inc/MFS401N-2-Z/563-1568-ND/5086558	DIGIKEY
SW4	1						
Y1	1						
