Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [null],SKU [null],Packaging [null],Unit Price (@ Batch Size: 1) [null],Line Total [null],Batch Total [null],In Stock [null],MOQ [null],URL [null],Notes
,,,,,,,,,Farnell,RS Components,Farnell,RS Components,Farnell,RS Components,Farnell,RS Components,Farnell,RS Components,Farnell,RS Components,,,,,,,,,,
1,UWX1C100MCL1GB,Nichicon,UWX1C100MCL1GB,https://octopart.com/uwx1c100mcl1gb-nichicon-203107,C1,,10µF electrolytic capacitor,1,8823022RL,7395548,Cut Tape,,,,2771,5845,5,10,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0f13696&sid=819&ppid=203107&vpid=139170979&ct=offers,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0d7caaa&sid=10022&ppid=203107&vpid=199081830&ct=offers,MCM Electronics,31-8210,,0.06591190000000001,0.06591190000000001,0.06591190000000001,39,,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0253cb9&sid=871&ppid=203107&vpid=87829264&ct=offers,
3,MC0805B104K500CT,Multicomp,MC0805B104K500CT,https://octopart.com/mc0805b104k500ct-multicomp-10529614,"C2, C5, C6",,0.1µF 0805 Capacitor,3,1759265RL,,Cut Tape,,,,217450,,10,,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0599325&sid=819&ppid=10529614&vpid=139045604&ct=offers,,Newark,06R3742,Cut Tape,0.067889257,0.203667771,0.203667771,11315,1,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=00ed17f&sid=2402&ppid=10529614&vpid=17761328&ct=offers,
2,MC1206B105K500CT,Multicomp,MC1206B105K500CT,https://octopart.com/mc1206b105k500ct-multicomp-10529438,"C3, C4",,1µF 1206 Capacitor,2,1759454RL,,Cut Tape,,,,37488,,5,,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0f3e3f8&sid=819&ppid=10529438&vpid=139049826&ct=offers,,Newark,06R4217,Cut Tape,0.252442577,0.504885154,0.504885154,3346,1,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0c20412&sid=2402&ppid=10529438&vpid=17761784&ct=offers,
2,MC0603N220K500CT,Multicomp,MC0603N220K500CT,https://octopart.com/mc0603n220k500ct-multicomp-10530022,"C7, C8",,22pF 0603 Capacitor,2,2309012RL,,Cut Tape,,0.0046,,30154,,1,,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=01d85ed&sid=819&ppid=10530022&vpid=169724391&ct=offers,,element14 APAC,2309012,Cut Tape,0.002774385136358088,0.005548770272716176,0.005548770272716176,74311,1,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0f63362&sid=11744&ppid=10530022&vpid=132443977&ct=offers,
1,SML-LX1206SRW-TR,Lumex,SML-LX1206SRW-TR,https://octopart.com/sml-lx1206srw-tr-lumex-550942,D1,,Red 1206 LED,1,2062242,,,,0.0614,,3173,,1,,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=01dfc1c&sid=819&ppid=550942&vpid=138996236&ct=offers,,Farnell,2062242,,0.0614,0.0614,0.0614,3173,1,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=01dfc1c&sid=819&ppid=550942&vpid=138996236&ct=offers,
1,TC1108-3.3VDBTR,Microchip,TC1108-3.3VDBTR,https://octopart.com/tc1108-3.3vdbtr-microchip-540426,I1,,"3.3V low dropout, linear regulator",1,1557422RL,8234309,Cut Tape,,0.388,,1105,2600,1,20,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0491126&sid=819&ppid=540426&vpid=139011184&ct=offers,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=06b33e3&sid=10022&ppid=540426&vpid=199064510&ct=offers,Avnet Express,TC1108-3.3VDBTR/BKN,,0.2418307611,0.2418307611,0.2418307611,43,1,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0f781ac&sid=5822&ppid=540426&vpid=21378920&ct=offers,
1,ATMEGA328P-PU,Atmel,ATMEGA328P-PU,https://octopart.com/atmega328p-pu-atmel-42866773,IC1,,Push fit into socket,1,1715487,6962260,,,2.35,2.39,8801,4969,1,1,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0333e2a&sid=819&ppid=42866773&vpid=138591435&ct=offers,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=00c8b67&sid=10022&ppid=42866773&vpid=198990071&ct=offers,Seeed Studio,310010051,,1.977357,1.977357,1.977357,30000,1,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0d57813&sid=12917&ppid=42866773&vpid=214712332&ct=offers,
1,1-2199298-9,TE Connectivity,1-2199298-9,https://octopart.com/1-2199298-9-te+connectivity-39188588,IC1,,DIP-28 Socket (solder to board),1,2445626,,,,,,1234,,10,,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=0d34340&sid=819&ppid=39188588&vpid=167531898&ct=offers,,Onlinecomponents.com,121992989,Bulk,0.268261433,0.268261433,0.268261433,1861,1,https://octopart-clicks.com/click/track?country=GB&ak=68b25f31&sig=005bc6b&sid=2429&ppid=39188588&vpid=203341927&ct=offers,
1,RFM69HW-868S2,RF Solutions,RFM69HW-868S2,https://octopart.com/rfm69hw-868s2-rf+solutions-52732388,IC2,,"868MHz High output, packet radio module",1,,,,,,,,,,,,,Digi-Key,RFM69HW-868S2-ND,Bag,6.81529046,6.81529046,6.81529046,8,1,https://octopart-clicks.com/click/track?c=1&country=GB&ak=68b25f31&sig=073f835&sid=459&ppid=52732388&vpid=178453070&ct=offers,
